,Unnamed: 0,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,errorBalanceOrg,errorBalanceDest,HourOfDay
3059,3059,2,TRANSFER,1096187.24,C1093223281,1096187.24,0.0,C2063275841,0.0,0.0,1,0,0.0,1096187.24,2
3060,3060,2,CASH_OUT,1096187.24,C77163673,1096187.24,0.0,C644345897,0.0,1096187.24,1,0,0.0,0.0,2
3162,3162,2,TRANSFER,963532.14,C1440057381,963532.14,0.0,C268086000,0.0,0.0,1,0,0.0,963532.14,2
3163,3163,2,CASH_OUT,963532.14,C430329518,963532.14,0.0,C991505714,132382.57,1095914.71,1,0,0.0,0.0,2
3271,3271,2,TRANSFER,14949.84,C140702728,14949.84,0.0,C634210724,0.0,0.0,1,0,0.0,14949.84,2
3272,3272,2,CASH_OUT,14949.84,C395257482,14949.84,0.0,C1032986144,18161.79,33111.63,1,0,0.0,7.275957614183426e-12,2
3683,3683,2,TRANSFER,18627.02,C1375503918,18627.02,0.0,C234430897,0.0,0.0,1,0,0.0,18627.02,2
3684,3684,2,CASH_OUT,18627.02,C175961135,18627.02,0.0,C1711105800,147251.58,165878.6,1,0,0.0,-2.9103830456733704e-11,2
4103,4103,3,TRANSFER,10539.37,C1134864869,10539.37,0.0,C118648358,0.0,0.0,1,0,0.0,10539.37,3
4104,4104,3,CASH_OUT,10539.37,C1984954272,10539.37,0.0,C124540047,0.0,10539.37,1,0,0.0,0.0,3
4260,4260,3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0,0.0,22877.0,3
4261,4261,3,CASH_OUT,22877.0,C2126545173,22877.0,0.0,C573200870,0.0,22877.0,1,0,0.0,0.0,3
4440,4440,4,TRANSFER,10000000.0,C7162498,12930418.44,2930418.44,C945327594,0.0,0.0,1,0,0.0,10000000.0,4
4441,4441,4,CASH_OUT,10000000.0,C351297720,10000000.0,0.0,C766681183,0.0,9941904.21,1,0,0.0,58095.78999999911,4
4442,4442,4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1,0,0.0,2930418.44,4
4443,4443,4,CASH_OUT,2930418.44,C2044690596,2930418.44,0.0,C932583850,3616012.1,6963508.84,1,0,0.0,-417078.2999999998,4
4667,4667,4,TRANSFER,169941.73,C540962910,169941.73,0.0,C2127862399,0.0,0.0,1,0,0.0,169941.73,4
4668,4668,4,CASH_OUT,169941.73,C2026325575,169941.73,0.0,C1394526584,0.0,169941.73,1,0,0.0,0.0,4
4693,4693,4,TRANSFER,13707.11,C17222024,13707.11,0.0,C410033330,0.0,0.0,1,0,0.0,13707.11,4
4694,4694,4,CASH_OUT,13707.11,C556223230,13707.11,0.0,C2094777811,0.0,13707.11,1,0,0.0,0.0,4
4775,4775,4,TRANSFER,86070.17,C1844941220,86070.17,0.0,C1191544932,0.0,0.0,1,0,0.0,86070.17,4
4776,4776,4,CASH_OUT,86070.17,C1699873763,86070.17,0.0,C560041895,0.0,86070.17,1,0,0.0,0.0,4
4857,4857,5,TRANSFER,120074.73,C1409933277,120074.73,0.0,C162114152,0.0,0.0,1,0,0.0,120074.73,5
4858,4858,5,CASH_OUT,120074.73,C1174000532,120074.73,0.0,C410033330,0.0,120074.73,1,0,0.0,0.0,5
5123,5123,5,TRANSFER,60726.57,C383882703,60726.57,0.0,C1807010830,0.0,0.0,1,0,0.0,60726.57,5
5124,5124,5,CASH_OUT,60726.57,C840095827,60726.57,0.0,C803116137,13010502.78,13071229.35,1,0,0.0,0.0,5
5466,5466,5,TRANSFER,10119.47,C1775746074,10119.47,0.0,C746009679,0.0,0.0,1,0,0.0,10119.47,5
5467,5467,5,CASH_OUT,10119.47,C213063852,10119.47,0.0,C922511709,0.0,10119.47,1,0,0.0,0.0,5
5558,5558,6,TRANSFER,33332.86,C2025652936,33332.86,0.0,C1662235713,0.0,0.0,1,0,0.0,33332.86,6
5559,5559,6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1,0,0.0,64334.86,6
5746,5746,6,TRANSFER,25975.86,C864622150,25975.86,0.0,C41792607,0.0,0.0,1,0,0.0,25975.86,6
5747,5747,6,CASH_OUT,25975.86,C1004271827,25975.86,0.0,C451934410,98152.0,28041.27,1,0,0.0,96086.59,6
5852,5852,6,TRANSFER,26768.5,C457596841,26768.5,0.0,C1956477953,0.0,0.0,1,0,0.0,26768.5,6
5853,5853,6,CASH_OUT,26768.5,C682812632,26768.5,0.0,C256417920,101976.0,128744.5,1,0,0.0,0.0,6
5994,5994,6,TRANSFER,30521.02,C903383636,30521.02,0.0,C904300960,0.0,0.0,1,0,0.0,30521.02,6
5995,5995,6,CASH_OUT,30521.02,C1813769162,30521.02,0.0,C1249547869,0.0,30521.02,1,0,0.0,0.0,6
6583,6583,6,TRANSFER,216422.0,C666642000,216422.0,0.0,C1315078366,0.0,0.0,1,0,0.0,216422.0,6
6584,6584,6,CASH_OUT,216422.0,C1547714604,216422.0,0.0,C7881234,10097.0,48630.5,1,0,0.0,177888.5,6
6702,6702,6,TRANSFER,17320.91,C788790720,17320.91,0.0,C1589547066,0.0,0.0,1,0,0.0,17320.91,6
6703,6703,6,CASH_OUT,17320.91,C436661284,17320.91,0.0,C522173599,6244.44,0.0,1,0,0.0,23565.35,6
6706,6706,6,TRANSFER,17246.0,C1034673425,17246.0,0.0,C1379589736,0.0,101717.84,1,0,0.0,-84471.84,6
6707,6707,6,CASH_OUT,17246.0,C1484518113,17246.0,0.0,C978609035,0.0,17246.0,1,0,0.0,0.0,6
6897,6897,6,TRANSFER,10565.0,C777407608,10565.0,0.0,C1790657739,0.0,0.0,1,0,0.0,10565.0,6
6898,6898,6,CASH_OUT,10565.0,C1191732945,10565.0,0.0,C418964192,36275.0,24380.72,1,0,0.0,22459.28,6
7002,7002,6,TRANSFER,10224.0,C365589282,10224.0,0.0,C908043384,0.0,0.0,1,0,0.0,10224.0,6
7003,7003,6,CASH_OUT,10224.0,C1284098442,10224.0,0.0,C801412408,0.0,10224.0,1,0,0.0,0.0,6
7029,7029,6,TRANSFER,85354.69,C558400671,85354.69,0.0,C527482085,0.0,0.0,1,0,0.0,85354.69,6
7030,7030,6,CASH_OUT,85354.69,C158801009,85354.69,0.0,C382431057,11170.0,10612.55,1,0,0.0,85912.14,6
7154,7154,6,TRANSFER,13704.0,C1735554279,13704.0,0.0,C12793273,0.0,1658746.09,1,0,0.0,-1645042.09,6
7155,7155,6,CASH_OUT,13704.0,C1421965867,13704.0,0.0,C1438594533,3382.84,143675.35,1,0,0.0,-126588.51,6
9284,9284,7,TRANSFER,262434.54,C2101686389,262434.54,0.0,C612008977,0.0,0.0,1,0,0.0,262434.54,7
9285,9285,7,CASH_OUT,262434.54,C383717053,262434.54,0.0,C380242442,19525.79,438233.86,1,0,0.0,-156273.53000000003,7
10218,10218,7,TRANSFER,21729.0,C1686905633,21729.0,0.0,C824421402,0.0,0.0,1,0,0.0,21729.0,7
10219,10219,7,CASH_OUT,21729.0,C693427358,21729.0,0.0,C1101441872,27335.0,0.0,1,0,0.0,49064.0,7
10395,10395,7,TRANSFER,5460002.91,C666654362,5460002.91,0.0,C1726301214,0.0,0.0,1,0,0.0,5460002.91,7
10396,10396,7,CASH_OUT,5460002.91,C1588880909,5460002.91,0.0,C1570256460,0.0,9281535.44,1,0,0.0,-3821532.5299999993,7
12179,12179,7,TRANSFER,164.0,C1455969984,164.0,0.0,C2119910556,0.0,0.0,1,0,0.0,164.0,7
12180,12180,7,CASH_OUT,164.0,C1173659886,164.0,0.0,C1769947269,4068.0,0.0,1,0,0.0,4232.0,7
12214,12214,7,TRANSFER,21571.0,C786114805,21571.0,0.0,C1666314150,0.0,0.0,1,0,0.0,21571.0,7
12215,12215,7,CASH_OUT,21571.0,C452475723,21571.0,0.0,C2089016471,30797.41,71140.3,1,0,0.0,-18771.89,7
12467,12467,7,TRANSFER,441445.58,C1023505879,441445.58,0.0,C847761155,0.0,0.0,1,0,0.0,441445.58,7
12468,12468,7,CASH_OUT,441445.58,C398085606,441445.58,0.0,C2072030256,98993.5,0.0,1,0,0.0,540439.0800000001,7
14861,14861,8,CASH_OUT,181728.11,C2102265902,0.0,0.0,C789014007,11397.0,184477.77,1,0,181728.11,8647.339999999997,8
18771,18771,8,TRANSFER,222.0,C1961506277,222.0,0.0,C378841819,0.0,267095.19,1,0,0.0,-266873.19,8
18772,18772,8,CASH_OUT,222.0,C1737727444,222.0,0.0,C588779235,24708.0,171647.35,1,0,0.0,-146717.35,8
24966,24966,8,TRANSFER,1996.17,C1198040187,1996.17,0.0,C1828047633,0.0,0.0,1,0,0.0,1996.17,8
24967,24967,8,CASH_OUT,1996.17,C858959216,1996.17,0.0,C864078397,2559.74,4555.92,1,0,0.0,-0.0100000000002182,8
25875,25875,8,TRANSFER,1078013.76,C1026280121,0.0,0.0,C277510102,0.0,970749.68,1,0,1078013.76,107264.07999999996,8
33472,33472,8,TRANSFER,89631.24,C74534388,89631.24,0.0,C1748042844,0.0,0.0,1,0,0.0,89631.24,8
33473,33473,8,CASH_OUT,89631.24,C1938531779,89631.24,0.0,C2048578791,21175.0,0.0,1,0,0.0,110806.24,8
33913,33913,8,TRANSFER,29707.86,C1825456600,29707.86,0.0,C570409417,0.0,0.0,1,0,0.0,29707.86,8
33914,33914,8,CASH_OUT,29707.86,C515973302,29707.86,0.0,C170071280,10935.0,0.0,1,0,0.0,40642.86,8
34168,34168,8,TRANSFER,43092.0,C1683174795,43092.0,0.0,C427998326,0.0,0.0,1,0,0.0,43092.0,8
34169,34169,8,CASH_OUT,43092.0,C1395071924,43092.0,0.0,C79685693,660641.74,1158662.9,1,0,0.0,-454929.1599999999,8
36026,36026,9,TRANSFER,556218.01,C1769581889,556218.01,0.0,C217441120,0.0,0.0,1,0,0.0,556218.01,9
36027,36027,9,CASH_OUT,556218.01,C589143360,556218.01,0.0,C1992550266,0.0,582265.81,1,0,0.0,-26047.800000000047,9
36691,36691,9,TRANSFER,11308.0,C299933576,11308.0,0.0,C1060999444,0.0,0.0,1,0,0.0,11308.0,9
36692,36692,9,CASH_OUT,11308.0,C921533797,11308.0,0.0,C424669538,0.0,302550.56,1,0,0.0,-291242.56,9
47144,47144,9,TRANSFER,350705.74,C1452168793,350705.74,0.0,C399194578,0.0,1184633.07,1,0,0.0,-833927.3300000001,9
47145,47145,9,CASH_OUT,350705.74,C58527359,350705.74,0.0,C582901057,894760.68,1794033.65,1,0,0.0,-548567.23,9
49825,49825,9,TRANSFER,2539898.07,C394488466,2539898.07,0.0,C575638324,0.0,261290.69,1,0,0.0,2278607.38,9
49826,49826,9,CASH_OUT,2539898.07,C728718059,2539898.07,0.0,C1013511446,968.0,1842864.22,1,0,0.0,698001.8499999999,9
49885,49885,9,TRANSFER,361559.69,C1287719145,361559.69,0.0,C352239275,0.0,141302.12,1,0,0.0,220257.57,9
49886,49886,9,CASH_OUT,361559.69,C684758020,361559.69,0.0,C1769042905,504667.31,189441.24,1,0,0.0,676785.76,9
56477,56477,9,TRANSFER,1154353.99,C670587931,1154353.99,0.0,C150406565,0.0,10872.9,1,0,0.0,1143481.09,9
56478,56478,9,CASH_OUT,1154353.99,C1034219836,1154353.99,0.0,C1195589213,162222.0,1965587.6,1,0,0.0,-649011.6100000001,9
58307,58307,9,TRANSFER,21922.0,C102617052,21922.0,0.0,C760675871,0.0,0.0,1,0,0.0,21922.0,9
58308,58308,9,CASH_OUT,21922.0,C1499032143,21922.0,0.0,C1508330669,1929861.61,2046918.8,1,0,0.0,-95135.18999999994,9
60853,60853,9,TRANSFER,994453.2,C1121789613,1437370.87,442917.67,C254839817,194812.76,665743.67,1,0,-2.3283064365386963e-10,523522.2899999999,9
69201,69201,9,TRANSFER,1055.0,C666486325,1055.0,0.0,C279565067,0.0,0.0,1,0,0.0,1055.0,9
69202,69202,9,CASH_OUT,1055.0,C1764109750,1055.0,0.0,C1522743169,75179.0,0.0,1,0,0.0,76234.0,9
72510,72510,9,TRANSFER,244068.01,C1087133093,244068.01,0.0,C1855553543,0.0,0.0,1,0,0.0,244068.01,9
72511,72511,9,CASH_OUT,244068.01,C507466068,244068.01,0.0,C706331499,0.0,338538.16,1,0,0.0,-94470.14999999997,9
72930,72930,10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1,0,0.0,59835.0,10
72931,72931,10,CASH_OUT,59835.0,C1020461364,59835.0,0.0,C2144015041,255480.76,315315.76,1,0,0.0,0.0,10
77745,77745,10,CASH_OUT,277970.88,C489647033,0.0,0.0,C571514738,0.0,277970.88,1,0,277970.88,0.0,10
90070,90070,10,TRANSFER,93810.76,C481501970,93810.76,0.0,C1262577882,0.0,0.0,1,0,0.0,93810.76,10
90071,90071,10,CASH_OUT,93810.76,C1190429229,93810.76,0.0,C2104652067,4096048.05,4189858.81,1,0,0.0,-4.656612873077393e-10,10
99371,99371,10,TRANSFER,503405.88,C1446009472,503405.88,0.0,C2010733400,0.0,0.0,1,0,0.0,503405.88,10
99372,99372,10,CASH_OUT,503405.88,C140359285,503405.88,0.0,C2020337583,29669.0,533074.88,1,0,0.0,0.0,10
102180,102180,10,TRANSFER,2662734.59,C1182702586,2662734.59,0.0,C2143409210,0.0,0.0,1,0,0.0,2662734.59,10
102181,102181,10,CASH_OUT,2662734.59,C813115168,2662734.59,0.0,C401825929,14165.62,2930405.33,1,0,0.0,-253505.1200000001,10
102607,102607,10,TRANSFER,9217.19,C184586799,9217.19,0.0,C812377986,0.0,96795.6,1,0,0.0,-87578.41,10
102608,102608,10,CASH_OUT,9217.19,C1105700111,9217.19,0.0,C1767952032,0.0,9217.19,1,0,0.0,0.0,10
136419,136419,11,TRANSFER,2100.0,C785601242,2100.0,0.0,C1576053316,0.0,0.0,1,0,0.0,2100.0,11
136420,136420,11,CASH_OUT,2100.0,C169099320,2100.0,0.0,C697156329,112512.48,114612.48,1,0,0.0,0.0,11
138559,138559,11,TRANSFER,1933920.8,C1706582969,0.0,0.0,C461905695,1283762.85,3217683.65,1,0,1933920.8,4.656612873077393e-10,11
141634,141634,11,TRANSFER,313418.28,C711446907,313418.28,0.0,C888769567,0.0,97980.88,1,0,0.0,215437.4,11
141635,141635,11,CASH_OUT,313418.28,C2021456831,313418.28,0.0,C157591472,688164.64,1029922.17,1,0,0.0,-28339.25,11
142087,142087,11,TRANSFER,12461.0,C2079232448,12461.0,0.0,C585834595,0.0,0.0,1,0,0.0,12461.0,11
142088,142088,11,CASH_OUT,12461.0,C938980312,12461.0,0.0,C621014131,27964.11,40425.11,1,0,0.0,0.0,11
146627,146627,12,TRANSFER,19472.0,C1101705841,19472.0,0.0,C925285469,0.0,0.0,1,0,0.0,19472.0,12
146628,146628,12,CASH_OUT,19472.0,C1205151454,19472.0,0.0,C664770316,0.0,19472.0,1,0,0.0,0.0,12
151657,151657,12,TRANSFER,3964129.99,C576568419,3964129.99,0.0,C1571546632,0.0,0.0,1,0,0.0,3964129.99,12
151658,151658,12,CASH_OUT,3964129.99,C1098250442,3964129.99,0.0,C1140712423,1912955.54,5811064.07,1,0,0.0,66021.45999999996,12
151924,151924,12,TRANSFER,1041647.06,C345293642,1041647.06,0.0,C937194908,0.0,0.0,1,0,0.0,1041647.06,12
151925,151925,12,CASH_OUT,1041647.06,C169939918,1041647.06,0.0,C1673501963,52730.33,1094377.39,1,0,0.0,2.3283064365386963e-10,12
167556,167556,12,TRANSFER,2066467.64,C1223631235,2066467.64,0.0,C1281019843,0.0,81209.81,1,0,0.0,1985257.83,12
167557,167557,12,CASH_OUT,2066467.64,C684252268,2066467.64,0.0,C2027569559,194510.24,3098566.67,1,0,0.0,-837588.79,12
169998,169998,12,CASH_OUT,149668.66,C227115333,0.0,0.0,C460735540,44170.11,193838.76,1,0,149668.66,0.0100000000093132,12
174584,174584,12,TRANSFER,2007.0,C439464764,2007.0,0.0,C562360384,0.0,0.0,1,0,0.0,2007.0,12
174585,174585,12,CASH_OUT,2007.0,C1331829443,2007.0,0.0,C127509847,129917.8,250910.76,1,0,0.0,-118985.96000000002,12
178668,178668,12,CASH_OUT,222048.71,C265790428,0.0,0.0,C1700442291,2979.0,225027.71,1,0,222048.71,0.0,12
181900,181900,12,TRANSFER,8677.0,C288028999,8677.0,0.0,C184294001,0.0,0.0,1,0,0.0,8677.0,12
181901,181901,12,CASH_OUT,8677.0,C343345083,8677.0,0.0,C200064275,225127.62,233804.62,1,0,0.0,0.0,12
182861,182861,13,TRANSFER,408.0,C2021466585,408.0,0.0,C1864486913,0.0,226013.18,1,0,0.0,-225605.18,13
182862,182862,13,CASH_OUT,408.0,C1894004688,408.0,0.0,C1293978242,898297.85,1075854.14,1,0,0.0,-177148.28999999992,13
193765,193765,13,TRANSFER,48375.02,C920803432,48375.02,0.0,C1767389067,0.0,0.0,1,0,0.0,48375.02,13
193766,193766,13,CASH_OUT,48375.02,C1894578299,48375.02,0.0,C590035788,374803.26,658520.33,1,0,0.0,-235342.04999999996,13
196775,196775,13,TRANSFER,4022667.54,C735463888,4022667.54,0.0,C1548348754,0.0,0.0,1,0,0.0,4022667.54,13
196776,196776,13,CASH_OUT,4022667.54,C79951219,4022667.54,0.0,C1499489682,80136.56,4057191.21,1,0,0.0,45612.89000000013,13
200845,200845,13,CASH_OUT,454859.39,C1274887619,0.0,0.0,C2146670328,0.0,454859.39,1,0,454859.39,0.0,13
202361,202361,13,TRANSFER,1161495.82,C1864459372,1161495.82,0.0,C537531657,0.0,0.0,1,0,0.0,1161495.82,13
202362,202362,13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1,0,0.0,-84591.96999999997,13
204215,204215,13,TRANSFER,2686564.04,C364029634,2686564.04,0.0,C2041291172,0.0,0.0,1,0,0.0,2686564.04,13
204216,204216,13,CASH_OUT,2686564.04,C901331326,2686564.04,0.0,C1662761228,438199.37,3124763.41,1,0,0.0,0.0,13
217320,217320,13,TRANSFER,6188514.81,C135832352,6188514.81,0.0,C2009346140,0.0,0.0,1,0,0.0,6188514.81,13
217321,217321,13,CASH_OUT,6188514.81,C686187434,6188514.81,0.0,C1562904239,381607.21,6424681.56,1,0,0.0,145440.45999999996,13
217978,217978,13,TRANSFER,123194.95,C2143112877,79466.45,0.0,C1755380031,535933.16,263908.84,1,0,43728.5,395219.27,13
222997,222997,14,TRANSFER,2093951.47,C1374377088,2093951.47,0.0,C207611232,0.0,0.0,1,0,0.0,2093951.47,14
222998,222998,14,CASH_OUT,2093951.47,C1440901488,2093951.47,0.0,C166839225,0.0,2093951.47,1,0,0.0,0.0,14
241947,241947,14,TRANSFER,143032.0,C1960144830,143032.0,0.0,C801162238,0.0,0.0,1,0,0.0,143032.0,14
241948,241948,14,CASH_OUT,143032.0,C465166521,143032.0,0.0,C487776685,814654.61,1020323.73,1,0,0.0,-62637.12,14
242982,242982,14,TRANSFER,2927005.15,C2081788795,2927005.15,0.0,C2138456206,0.0,0.0,1,0,0.0,2927005.15,14
242983,242983,14,CASH_OUT,2927005.15,C2010427735,2927005.15,0.0,C1887744176,0.0,2994420.07,1,0,0.0,-67414.91999999993,14
248771,248771,14,TRANSFER,1832319.42,C439830884,1832319.42,0.0,C1133002328,0.0,0.0,1,0,0.0,1832319.42,14
248772,248772,14,CASH_OUT,1832319.42,C803703656,1832319.42,0.0,C858007309,43962.42,2440139.69,1,0,0.0,-563857.8500000001,14
255701,255701,14,TRANSFER,1561891.66,C736093511,1561891.66,0.0,C1224081716,0.0,0.0,1,0,0.0,1561891.66,14
255702,255702,14,CASH_OUT,1561891.66,C15204463,1561891.66,0.0,C1255502452,3471928.95,6443177.56,1,0,0.0,-1409356.9499999993,14
259844,259844,14,TRANSFER,65488.05,C236875489,65488.05,0.0,C528705657,0.0,0.0,1,0,0.0,65488.05,14
259845,259845,14,CASH_OUT,65488.05,C1137669976,65488.05,0.0,C1526507740,0.0,65488.05,1,0,0.0,0.0,14
271116,271116,15,TRANSFER,696763.08,C968403759,696763.08,0.0,C1524019269,0.0,69861.26,1,0,0.0,626901.82,15
271117,271117,15,CASH_OUT,696763.08,C725915377,696763.08,0.0,C1656726101,366114.58,1347073.81,1,0,0.0,-284196.15000000014,15
277265,277265,15,TRANSFER,119.0,C1995557473,119.0,0.0,C1480876722,0.0,0.0,1,0,0.0,119.0,15
277266,277266,15,CASH_OUT,119.0,C1584512618,119.0,0.0,C2102058838,4844060.13,4844179.13,1,0,0.0,0.0,15
277990,277990,15,TRANSFER,128473.62,C1012580160,128473.62,0.0,C540657255,0.0,0.0,1,0,0.0,128473.62,15
277991,277991,15,CASH_OUT,128473.62,C905234452,128473.62,0.0,C786510892,0.0,128473.62,1,0,0.0,0.0,15
285019,285019,15,TRANSFER,248056.41,C1474711983,248056.41,0.0,C1009564356,0.0,0.0,1,0,0.0,248056.41,15
285020,285020,15,CASH_OUT,248056.41,C1055229266,248056.41,0.0,C1689170857,0.0,201427.47,1,0,0.0,46628.94,15
286185,286185,15,TRANSFER,164500.81,C1761347420,164500.81,0.0,C383804904,0.0,0.0,1,0,0.0,164500.81,15
286186,286186,15,CASH_OUT,164500.81,C1689700172,164500.81,0.0,C149696600,685636.21,850137.02,1,0,0.0,0.0,15
288376,288376,15,TRANSFER,212089.74,C378910639,212089.74,0.0,C1881567873,0.0,0.0,1,0,0.0,212089.74,15
288377,288377,15,CASH_OUT,212089.74,C1970843703,212089.74,0.0,C597280894,257758.48,469848.23,1,0,0.0,-0.0100000000093132,15
291459,291459,15,CASH_OUT,95428.32,C947728507,0.0,0.0,C1720721903,0.0,95428.32,1,0,95428.32,0.0,15
296686,296686,15,CASH_OUT,39713.28,C1404885898,0.0,0.0,C1795377601,1274866.51,1314579.79,1,0,39713.28,0.0,15
301801,301801,15,TRANSFER,170.0,C553034695,170.0,0.0,C26381896,0.0,0.0,1,0,0.0,170.0,15
301802,301802,15,CASH_OUT,170.0,C1065370362,170.0,0.0,C200064275,413421.36,345764.15,1,0,0.0,67827.20999999996,15
302331,302331,15,TRANSFER,747282.4,C1695793096,747282.4,0.0,C849010584,0.0,0.0,1,0,0.0,747282.4,15
302332,302332,15,CASH_OUT,747282.4,C842684426,747282.4,0.0,C2025644484,5340917.82,6088200.22,1,0,0.0,9.313225746154783e-10,15
303659,303659,15,TRANSFER,59385.67,C1275373422,59385.67,0.0,C1704707395,0.0,0.0,1,0,0.0,59385.67,15
303660,303660,15,CASH_OUT,59385.67,C1765315298,59385.67,0.0,C721356209,74371.0,133756.67,1,0,0.0,-2.9103830456733704e-11,15
318373,318373,16,TRANSFER,2198224.71,C752563135,2198224.71,0.0,C247007952,0.0,0.0,1,0,0.0,2198224.71,16
318374,318374,16,CASH_OUT,2198224.71,C705981026,2198224.71,0.0,C697783649,0.0,2198224.71,1,0,0.0,0.0,16
327761,327761,16,TRANSFER,828720.89,C1422357582,828720.89,0.0,C366986030,0.0,0.0,1,0,0.0,828720.89,16
327762,327762,16,CASH_OUT,828720.89,C1002446735,828720.89,0.0,C185805228,9142622.59,10184336.54,1,0,0.0,-212993.05999999863,16
338007,338007,16,TRANSFER,2701905.3,C494334546,2701905.3,0.0,C428725863,0.0,0.0,1,0,0.0,2701905.3,16
338008,338008,16,CASH_OUT,2701905.3,C2140905252,2701905.3,0.0,C970796050,57418.0,2759323.3,1,0,0.0,0.0,16
343300,343300,16,TRANSFER,31074.0,C457962127,31074.0,0.0,C614104997,0.0,0.0,1,0,0.0,31074.0,16
343301,343301,16,CASH_OUT,31074.0,C2073757635,31074.0,0.0,C1899325653,0.0,31074.0,1,0,0.0,0.0,16
347734,347734,16,TRANSFER,121626.82,C185016231,121626.82,0.0,C1409959,0.0,0.0,1,0,0.0,121626.82,16
347735,347735,16,CASH_OUT,121626.82,C828364266,121626.82,0.0,C101179743,653744.34,775371.16,1,0,0.0,-1.1641532182693479e-10,16
368258,368258,17,TRANSFER,1639676.27,C15998296,1639676.27,0.0,C1652158314,0.0,0.0,1,0,0.0,1639676.27,17
368259,368259,17,CASH_OUT,1639676.27,C967691562,1639676.27,0.0,C2093967426,448954.92,2198318.48,1,0,0.0,-109687.29000000004,17
369526,369526,17,TRANSFER,305627.0,C1711670940,305627.0,0.0,C385061535,0.0,0.0,1,0,0.0,305627.0,17
369527,369527,17,CASH_OUT,305627.0,C1600031018,305627.0,0.0,C1971951800,7699847.16,8005474.16,1,0,0.0,0.0,17
376840,376840,17,TRANSFER,195351.76,C1420261366,195351.76,0.0,C639808302,0.0,0.0,1,0,0.0,195351.76,17
376841,376841,17,CASH_OUT,195351.76,C268542581,195351.76,0.0,C504693752,156408.25,265841.0,1,0,0.0,85919.01000000001,17
377151,377151,17,CASH_OUT,42062.82,C897869440,340830.43,298767.61,C616721459,398931.35,678419.64,1,0,0.0,-237425.47000000003,17
397546,397546,18,TRANSFER,295664.18,C1726326177,295664.18,0.0,C1540448785,0.0,0.0,1,0,0.0,295664.18,18
397547,397547,18,CASH_OUT,295664.18,C1446413189,295664.18,0.0,C185805228,10184336.54,10480000.72,1,0,0.0,-1.862645149230957e-09,18
404428,404428,18,TRANSFER,307739.18,C1066119351,307739.18,0.0,C702410034,0.0,0.0,1,0,0.0,307739.18,18
404429,404429,18,CASH_OUT,307739.18,C281912643,307739.18,0.0,C1264205758,25326.0,838246.41,1,0,0.0,-505181.23,18
408955,408955,18,CASH_OUT,314251.58,C1462280812,75956.47,0.0,C90486891,7962205.25,8276456.84,1,0,238295.11,-0.0099999997764825,18
